Stock_Length,Stock_Width,Panels,Items,Columns
1200,2480.0,132,[23],"(1,)"
1200,2480.0,12,[16],"(2,)"
1200,2480.0,47,[15],"(2,)"
1200,2480.0,35,[12],"(4,)"
1200,2480.0,18,[11],"(4,)"
1200,2480.0,47,"[10, 17]","(2, 1)"
1200,2480.0,6,[9],"(4,)"
1200,2480.0,22,"[8, 19]","(1, 1)"
1200,2480.0,3,[7],"(4,)"
1200,2480.0,47,"[6, 18]","(3, 1)"
1200,2480.0,24,"[5, 13]","(1, 3)"
1200,2480.0,94,"[4, 22]","(1, 1)"
1200,2480.0,22,"[3, 21]","(1, 1)"
1200,2480.0,22,"[2, 20]","(3, 1)"
1200,2480.0,47,"[1, 14]","(1, 3)"
