Stock_Length,Stock_Width,Panels,Items,Columns
1200,2480,5,"[16, 18]","(2, 3)"
1200,2480,15,"[6, 17]","(5, 1)"
1200,2480,15,"[5, 19]","(8, 1)"
1200,2480,38,"[4, 13]","(3, 1)"
1200,2480,4,[2],"(6,)"
1200,2480,25,"[1, 11]","(1, 5)"
1200,2280,20,"[23, 25]","(1, 1)"
1200,2280,10,[22],"(6,)"
1200,2280,10,[21],"(6,)"
1200,2280,20,"[20, 24]","(3, 1)"
1200,2280,6,[15],"(10,)"
1200,2280,20,[14],"(3,)"
1200,2280,6,[12],"(7,)"
1200,2280,10,[10],"(8,)"
1200,2280,157,[8],"(4,)"
1200,2280,313,"[7, 9]","(2, 1)"
1200,2280,3,[3],"(6,)"
