Stock_Length,Stock_Width,Panels,Items,Columns
1200,2300,55,[41],"(2,)"
1200,2300,55,[34],"(2,)"
1200,2300,88,"[32, 47]","(1, 1)"
1200,2300,300,"[28, 52]","(1, 1)"
1200,2300,150,"[27, 31]","(2, 1)"
1200,2300,150,"[24, 35]","(2, 1)"
1200,2300,150,"[23, 37]","(2, 1)"
1200,2300,5,[18],"(4,)"
1200,2300,5,[17],"(4,)"
1200,2300,4,[16],"(4,)"
1200,2300,10,"[15, 19]","(1, 3)"
1200,2300,4,[14],"(4,)"
1200,2300,680,"[12, 60]","(1, 1)"
1200,2300,69,"[11, 30]","(1, 2)"
1200,2300,184,"[10, 65]","(1, 1)"
1200,2300,140,"[9, 39]","(1, 2)"
1200,2300,184,"[7, 64]","(1, 1)"
1200,2300,30,"[6, 63]","(2, 1)"
1200,2300,140,"[5, 40]","(1, 2)"
1200,2300,20,"[4, 62]","(2, 1)"
1200,2300,14,"[3, 61]","(2, 1)"
1200,2300,55,"[2, 38]","(6, 2)"
1200,2300,150,"[1, 13]","(1, 4)"
1600,1860,275,"[53, 57]","(1, 1)"
1600,1860,340,"[50, 59]","(1, 1)"
1600,1860,135,"[49, 55]","(1, 1)"
1600,1860,110,"[48, 54]","(1, 1)"
1600,1860,220,"[45, 56]","(1, 1)"
1600,1860,220,"[36, 58]","(1, 1)"
1600,1860,74,"[33, 42]","(1, 2)"
1600,1860,23,[29],"(4,)"
1600,1860,30,"[26, 44]","(3, 1)"
1600,1860,65,"[25, 43]","(1, 2)"
1600,1860,23,"[22, 46]","(1, 2)"
1600,1860,24,[21],"(5,)"
1600,1860,24,[20],"(5,)"
1600,1860,340,"[8, 51]","(1, 2)"
