Stock_Length,Stock_Width,Panels,Items,Columns
1600,2280,10,[23],"(2,)"
1600,2280,15,"[21, 22]","(4, 4)"
1600,2280,10,"[19, 24]","(2, 2)"
1600,2280,4,[18],"(5,)"
1600,2280,10,[17],"(2,)"
1600,2280,10,"[16, 20]","(1, 6)"
1600,2280,20,"[14, 25]","(3, 1)"
1600,2280,3,[13],"(9,)"
1600,2280,28,[11],"(9,)"
1600,2280,125,[8],"(5,)"
1600,2280,209,"[7, 9]","(3, 1)"
1600,2280,10,"[6, 12]","(8, 4)"
1600,2280,10,[5],"(14,)"
1600,2280,35,"[4, 15]","(4, 2)"
1600,2280,10,"[3, 10]","(2, 8)"
1600,2280,10,"[1, 2]","(3, 3)"
