Stock_Length,Stock_Width,Panels,Items,Columns
1200,2300,184,[64],"(1,)"
1200,2300,30,[63],"(1,)"
1200,2300,20,[62],"(1,)"
1200,2300,23,[46],"(2,)"
1200,2300,15,[44],"(2,)"
1200,2300,65,[43],"(2,)"
1200,2300,147,"[42, 45]","(1, 1)"
1200,2300,140,[40],"(2,)"
1200,2300,130,"[34, 49]","(1, 1)"
1200,2300,65,"[33, 48]","(1, 1)"
1200,2300,88,"[32, 47]","(1, 1)"
1200,2300,184,"[30, 53]","(1, 1)"
1200,2300,30,[29],"(3,)"
1200,2300,100,[28],"(3,)"
1200,2300,220,"[26, 56]","(1, 1)"
1200,2300,110,"[25, 54]","(1, 1)"
1200,2300,300,"[24, 59]","(1, 1)"
1200,2300,5,[22],"(3,)"
1200,2300,220,"[21, 58]","(1, 1)"
1200,2300,135,"[20, 55]","(1, 1)"
1200,2300,5,[18],"(4,)"
1200,2300,5,[17],"(4,)"
1200,2300,3,[15],"(4,)"
1200,2300,15,"[14, 16, 19]","(1, 1, 2)"
1200,2300,680,"[12, 60]","(1, 1)"
1200,2300,75,"[11, 35]","(1, 2)"
1200,2300,140,"[10, 39]","(1, 2)"
1200,2300,680,"[9, 13, 51]","(1, 1, 1)"
1200,2300,184,"[8, 65]","(1, 1)"
1200,2300,110,"[7, 38, 41]","(1, 1, 1)"
1200,2300,340,"[6, 27, 50]","(1, 1, 1)"
1200,2300,70,"[5, 37]","(1, 2)"
1200,2300,14,"[4, 61]","(2, 1)"
1200,2300,69,"[3, 36]","(1, 2)"
1200,2300,260,"[2, 31, 52]","(1, 1, 1)"
1200,2300,300,"[1, 23, 57]","(1, 1, 1)"
