Stock_Length,Stock_Width,Panels,Items,Columns
1550,2300,340,"[50, 57]","(1, 1)"
1550,2300,135,"[49, 55]","(1, 1)"
1550,2300,220,"[45, 58]","(1, 1)"
1550,2300,110,"[41, 54]","(1, 1)"
1550,2300,280,"[40, 59]","(1, 1)"
1550,2300,140,"[37, 39]","(1, 2)"
1550,2300,184,"[36, 64]","(1, 1)"
1550,2300,184,"[35, 65]","(1, 1)"
1550,2300,55,"[33, 38]","(1, 2)"
1550,2300,45,"[32, 46]","(2, 1)"
1550,2300,69,"[30, 48]","(2, 1)"
1550,2300,75,[28],"(4,)"
1550,2300,75,[27],"(4,)"
1550,2300,18,[26],"(5,)"
1550,2300,6,[25],"(5,)"
1550,2300,60,[24],"(5,)"
1550,2300,60,[23],"(5,)"
1550,2300,3,[22],"(5,)"
1550,2300,20,[21],"(5,)"
1550,2300,20,[20],"(5,)"
1550,2300,30,"[19, 29]","(1, 3)"
1550,2300,4,[18],"(5,)"
1550,2300,20,"[17, 62]","(1, 1)"
1550,2300,15,"[16, 44]","(1, 2)"
1550,2300,2,[15],"(5,)"
1550,2300,14,"[14, 61]","(1, 1)"
1550,2300,680,"[13, 60]","(2, 1)"
1550,2300,220,"[12, 56]","(3, 1)"
1550,2300,74,"[11, 42]","(1, 2)"
1550,2300,30,"[10, 63]","(3, 1)"
1550,2300,46,"[9, 31]","(2, 3)"
1550,2300,340,"[8, 51]","(1, 2)"
1550,2300,65,"[7, 43]","(3, 2)"
1550,2300,44,"[6, 47]","(2, 2)"
1550,2300,2,[5],"(15,)"
1550,2300,2,[4],"(15,)"
1550,2300,37,"[3, 34]","(1, 3)"
1550,2300,130,"[2, 52]","(2, 2)"
1550,2300,92,"[1, 53]","(1, 2)"
