Stock_Length,Stock_Width,Panels,Items,Columns
1200,2340,295,[22],"(2,)"
1200,2340,1040,"[16, 25]","(2, 1)"
1200,2340,2080,"[15, 31]","(1, 1)"
1200,2340,590,"[7, 13, 30]","(1, 1, 1)"
1200,2340,2080,"[6, 18, 26]","(1, 1, 1)"
1200,2340,590,"[5, 12, 23]","(4, 1, 1)"
1200,2340,4,[1],"(12,)"
1200,1680,295,[21],"(2,)"
1200,1680,520,[17],"(4,)"
1200,1680,410,"[10, 11, 27]","(1, 1, 1)"
1200,1680,410,"[9, 14, 29]","(1, 1, 1)"
1200,1680,1180,"[8, 20, 24]","(1, 1, 1)"
1200,1680,410,"[3, 19, 28]","(1, 1, 1)"
1200,1680,1180,"[2, 4, 32]","(1, 1, 1)"
