Stock_Length,Stock_Width,Panels,Items,Columns
1200,2340,295,[22],"(2,)"
1200,2340,2080,"[18, 26]","(1, 1)"
1200,2340,2080,"[16, 31]","(1, 1)"
1200,2340,1040,"[15, 25]","(2, 1)"
1200,2340,22,[13],"(6,)"
1200,2340,45,[12],"(8,)"
1200,2340,46,"[10, 11]","(2, 6)"
1200,2340,6,[9],"(8,)"
1200,2340,45,[7],"(8,)"
1200,2340,590,"[6, 23]","(5, 1)"
1200,2340,694,"[5, 30]","(3, 1)"
1200,2340,25,"[2, 3]","(6, 6)"
1200,2340,4,[1],"(12,)"
1200,1680,295,[21],"(2,)"
1200,1680,1180,"[20, 24]","(1, 1)"
1200,1680,410,"[19, 29]","(1, 1)"
1200,1680,520,[17],"(4,)"
1200,1680,410,"[14, 28]","(2, 1)"
1200,1680,1180,"[8, 32]","(1, 1)"
1200,1680,410,"[4, 27]","(4, 1)"
