Stock_Length,Stock_Width,Panels,Items,Columns
1600,2640,29,"[60, 71]","(3, 1)"
1600,2640,44,"[55, 69]","(2, 2)"
1600,2640,10,"[51, 57]","(1, 2)"
1600,2640,21,"[50, 75]","(3, 6)"
1600,2640,20,"[49, 58]","(3, 1)"
1600,2640,3,[48],"(9,)"
1600,2640,14,[46],"(9,)"
1600,2640,50,"[45, 74]","(4, 5)"
1600,2640,26,"[42, 67]","(3, 2)"
1600,2640,44,"[41, 65]","(2, 2)"
1600,2640,23,[40],"(8,)"
1600,2640,250,"[34, 73]","(2, 1)"
1600,2640,44,"[32, 66]","(1, 2)"
1600,2640,20,"[31, 59]","(3, 1)"
1600,2640,130,"[23, 33]","(1, 3)"
1600,2640,300,"[17, 24]","(1, 1)"
1600,2640,2,[15],"(8,)"
1600,2640,20,"[13, 30]","(1, 3)"
1600,2640,30,"[12, 64]","(3, 3)"
1600,2640,90,"[11, 39]","(1, 2)"
1600,2640,157,"[8, 25]","(4, 2)"
1600,2640,209,"[7, 9]","(3, 1)"
1600,2640,44,"[5, 68]","(4, 2)"
1600,2640,5,"[3, 14]","(3, 3)"
1600,2640,26,"[1, 70]","(1, 2)"
1600,1860,4,[54],"(5,)"
1600,1860,4,[53],"(5,)"
1600,1860,10,[52],"(2,)"
1600,1860,43,"[47, 62]","(1, 3)"
1600,1860,30,[44],"(12,)"
1600,1860,65,"[37, 61]","(7, 2)"
1600,1860,35,"[29, 72]","(1, 3)"
1600,1860,50,"[26, 27]","(3, 3)"
1600,1860,360,"[22, 43]","(4, 1)"
1600,1860,214,"[21, 38]","(3, 1)"
1600,1860,75,"[20, 28]","(2, 2)"
1600,1860,200,"[18, 35]","(2, 1)"
1600,1860,10,"[16, 56]","(2, 6)"
1600,1860,9,[10],"(11,)"
1600,1860,150,"[6, 36]","(1, 3)"
1600,1860,200,"[4, 19]","(1, 2)"
1600,1860,43,"[2, 63]","(1, 3)"
