Stock_Length,Stock_Width,Panels,Items,Columns
1550,2480,8,"[12, 18]","(5, 2)"
1550,2480,14,[11],"(9,)"
1550,2480,7,[10],"(11,)"
1550,2480,5,[6],"(14,)"
1550,2480,15,"[5, 17]","(8, 1)"
1550,2480,5,"[3, 19]","(3, 3)"
1550,2480,28,"[2, 4]","(1, 4)"
1550,2480,6,[1],"(4,)"
1600,2280,10,[23],"(2,)"
1600,2280,15,"[21, 22]","(4, 4)"
1600,2280,10,"[16, 20]","(1, 6)"
1600,2280,10,"[15, 25]","(6, 2)"
1600,2280,20,"[14, 24]","(3, 1)"
1600,2280,3,[13],"(9,)"
1600,2280,125,[8],"(5,)"
1600,2280,209,"[7, 9]","(3, 1)"
