Stock_Length,Stock_Width,Panels,Items,Columns
1600,2400,205,[28],"(2,)"
1600,2400,137,[27],"(2,)"
1600,2400,2080,"[24, 31]","(1, 1)"
1600,2400,590,"[23, 30]","(1, 1)"
1600,2400,410,"[21, 29]","(1, 1)"
1600,2400,295,"[19, 22]","(1, 2)"
1600,2400,1180,"[18, 32]","(2, 1)"
1600,2400,260,[16],"(8,)"
1600,2400,260,[15],"(8,)"
1600,2400,37,[14],"(8,)"
1600,2400,208,"[13, 17]","(1, 5)"
1600,2400,36,[12],"(10,)"
1600,2400,55,"[9, 20]","(1, 5)"
1600,2400,108,"[8, 10]","(10, 1)"
1600,2400,33,[7],"(11,)"
1600,2400,130,[6],"(16,)"
1600,2400,130,[5],"(16,)"
1600,2400,1080,"[4, 26]","(1, 2)"
1600,2400,520,"[3, 25]","(1, 2)"
1600,2400,35,"[2, 11]","(4, 8)"
1600,2400,3,[1],"(16,)"
