Stock_Length,Stock_Width,Panels,Items,Columns
1200,2400,15,[74],"(2,)"
1200,2400,5,[73],"(2,)"
1200,2400,295,[72],"(2,)"
1200,2400,197,[71],"(2,)"
1200,2400,80,[69],"(2,)"
1200,2400,80,[68],"(2,)"
1200,2400,25,[67],"(2,)"
1200,2400,25,[66],"(2,)"
1200,2400,20,"[64, 75]","(1, 1)"
1200,2400,274,"[58, 80]","(1, 1)"
1200,2400,2080,"[56, 79]","(1, 1)"
1200,2400,32,[54],"(5,)"
1200,2400,1040,"[53, 78]","(2, 1)"
1200,2400,2080,"[52, 86]","(1, 1)"
1200,2400,30,"[50, 85]","(1, 1)"
1200,2400,22,[39],"(6,)"
1200,2400,15,[38],"(7,)"
1200,2400,6,"[37, 49]","(5, 2)"
1200,2400,45,[36],"(8,)"
1200,2400,46,"[34, 35]","(2, 6)"
1200,2400,15,"[33, 62]","(3, 2)"
1200,2400,52,"[31, 48]","(7, 1)"
1200,2400,5,"[28, 30]","(6, 4)"
1200,2400,20,"[26, 84]","(2, 1)"
1200,2400,4,"[25, 29]","(5, 5)"
1200,2400,10,"[23, 60]","(1, 3)"
1200,2400,10,"[22, 65]","(1, 2)"
1200,2400,694,"[21, 83]","(3, 1)"
1200,2400,590,"[20, 76]","(5, 1)"
1200,2400,40,"[19, 51]","(4, 4)"
1200,2400,16,"[17, 18]","(10, 2)"
1200,2400,5,"[15, 43]","(10, 1)"
1200,2400,12,[11],"(12,)"
1200,2400,14,"[10, 13]","(10, 2)"
1200,2400,2,"[9, 27]","(1, 10)"
1200,2400,5,"[8, 12]","(9, 3)"
1200,2400,3,"[6, 24]","(7, 5)"
1200,2400,6,"[5, 63]","(1, 2)"
1200,2400,260,"[2, 55]","(1, 4)"
1200,2400,2,"[1, 7]","(4, 10)"
1200,1680,5,[70],"(2,)"
1200,1680,1180,"[59, 77]","(1, 1)"
1200,1680,410,"[57, 82]","(1, 1)"
1200,1680,2,[47],"(6,)"
1200,1680,9,[42],"(6,)"
1200,1680,7,"[41, 44]","(5, 1)"
1200,1680,66,[40],"(6,)"
1200,1680,1180,"[32, 87]","(1, 1)"
1200,1680,410,"[16, 81]","(4, 1)"
1200,1680,7,"[14, 46]","(8, 2)"
1200,1680,4,"[4, 61]","(1, 3)"
1200,1680,2,"[3, 45]","(2, 5)"
