Stock_Length,Stock_Width,Panels,Items,Columns
1200,2700,26,[70],"(2,)"
1200,2700,26,[67],"(2,)"
1200,2700,87,"[66, 69]","(1, 1)"
1200,2700,20,"[57, 59]","(1, 1)"
1200,2700,10,[56],"(6,)"
1200,2700,10,[55],"(6,)"
1200,2700,5,"[51, 54]","(2, 3)"
1200,2700,250,"[45, 73]","(1, 1)"
1200,2700,40,[44],"(9,)"
1200,2700,360,[43],"(1,)"
1200,2700,30,[40],"(6,)"
1200,2700,90,"[38, 39, 42]","(1, 2, 1)"
1200,2700,225,"[36, 37]","(2, 2)"
1200,2700,70,"[35, 41, 72]","(2, 1, 1)"
1200,2700,10,[32],"(3,)"
1200,2700,63,"[31, 49, 75]","(1, 1, 2)"
1200,2700,30,"[30, 50]","(2, 2)"
1200,2700,87,"[28, 61, 65]","(1, 1, 1)"
1200,2700,85,"[27, 63, 64]","(1, 1, 1)"
1200,2700,17,[26],"(6,)"
1200,2700,320,"[21, 25]","(2, 1)"
1200,2700,50,[20],"(2,)"
1200,2700,200,[19],"(2,)"
1200,2700,400,"[18, 33]","(1, 1)"
1200,2700,280,"[17, 34]","(1, 2)"
1200,2700,15,"[14, 15, 52]","(1, 1, 1)"
1200,2700,10,"[13, 16, 58]","(2, 1, 2)"
1200,2700,90,"[11, 12, 68]","(1, 1, 1)"
1200,2700,43,"[10, 62]","(2, 2)"
1200,2700,45,[9],"(4,)"
1200,2700,157,[8],"(4,)"
1200,2700,320,"[7, 22, 23]","(2, 2, 1)"
1200,2700,9,"[6, 29]","(7, 2)"
1200,2700,300,"[5, 24, 74]","(1, 1, 1)"
1200,2700,38,"[4, 48]","(3, 1)"
1200,2700,15,"[3, 53, 71]","(1, 1, 2)"
1200,2700,44,"[2, 47, 60]","(1, 1, 2)"
1200,2700,25,"[1, 46]","(1, 5)"
