Stock_Length,Stock_Width,Panels,Items,Columns
1400,2300,33,[48],"(2,)"
1400,2300,44,[47],"(2,)"
1400,2300,280,"[40, 57]","(1, 1)"
1400,2300,280,"[39, 59]","(1, 1)"
1400,2300,220,"[36, 56]","(1, 1)"
1400,2300,55,"[33, 34]","(1, 2)"
1400,2300,30,"[25, 63]","(1, 1)"
1400,2300,184,"[24, 53]","(2, 1)"
1400,2300,184,"[21, 64]","(1, 1)"
1400,2300,110,"[20, 38, 41]","(1, 1, 1)"
1400,2300,20,"[18, 62]","(1, 1)"
1400,2300,5,[17],"(4,)"
1400,2300,10,"[15, 19]","(1, 3)"
1400,2300,14,"[14, 61]","(1, 1)"
1400,2300,300,"[13, 52]","(2, 1)"
1400,2300,150,"[12, 35]","(4, 1)"
1400,2300,184,"[9, 11, 65]","(1, 1, 1)"
1400,2300,15,"[8, 16, 22]","(6, 1, 1)"
1400,2300,220,"[2, 30, 58]","(3, 1, 1)"
1400,2300,46,"[1, 3, 31]","(2, 1, 3)"
1400,1850,147,"[42, 55]","(1, 1)"
1400,1850,45,"[29, 46]","(2, 1)"
1400,1850,680,"[28, 60]","(1, 1)"
1400,1850,23,[26],"(4,)"
1400,1850,680,"[23, 27, 51]","(1, 1, 1)"
1400,1850,340,"[10, 37, 50]","(1, 1, 1)"
1400,1850,130,"[7, 43, 49]","(1, 1, 1)"
1400,1850,74,"[6, 45]","(2, 2)"
1400,1850,110,"[5, 32, 54]","(1, 1, 1)"
1400,1850,15,"[4, 44]","(2, 2)"
