Stock_Length,Stock_Width,Panels,Items,Columns
1550,2700,347,[25],"(2,)"
1550,2700,30,[14],"(8,)"
1550,2700,394,"[12, 21, 27]","(1, 1, 1)"
1550,2700,208,"[11, 17]","(1, 5)"
1550,2700,4,[9],"(10,)"
1550,2700,298,"[6, 29]","(7, 1)"
1550,2700,298,"[5, 28]","(7, 1)"
1550,2700,41,"[1, 20]","(1, 5)"
1550,2340,1040,[26],"(2,)"
1550,2340,590,"[23, 30]","(1, 1)"
1550,2340,295,"[19, 22]","(1, 2)"
1550,2340,2080,"[15, 18, 31]","(1, 1, 1)"
1550,2340,17,[13],"(8,)"
1550,2340,1180,"[8, 16, 32]","(1, 2, 1)"
1550,2340,33,[7],"(11,)"
1550,2340,590,"[4, 24]","(2, 2)"
1550,2340,10,[3],"(15,)"
1550,2340,19,"[2, 10]","(8, 5)"
