Stock_Length,Stock_Width,Panels,Items,Columns
1200,2400,295,[22],"(2,)"
1200,2400,197,[21],"(2,)"
1200,2400,274,"[20, 27]","(1, 1)"
1200,2400,410,"[19, 29]","(1, 1)"
1200,2400,2080,"[18, 26]","(1, 1)"
1200,2400,1040,"[17, 25]","(1, 1)"
1200,2400,2080,"[16, 31]","(1, 1)"
1200,2400,1180,"[15, 24]","(2, 1)"
1200,2400,50,[14],"(6,)"
1200,2400,22,[13],"(6,)"
1200,2400,45,[12],"(8,)"
1200,2400,46,"[10, 11]","(2, 6)"
1200,2400,6,[9],"(8,)"
1200,2400,590,"[8, 30]","(2, 1)"
1200,2400,45,[7],"(8,)"
1200,2400,590,"[6, 23]","(5, 1)"
1200,2400,1180,"[5, 32]","(2, 1)"
1200,2400,410,"[4, 28]","(4, 1)"
1200,2400,12,[3],"(12,)"
1200,2400,12,[2],"(12,)"
1200,2400,4,[1],"(12,)"
