Stock_Length,Stock_Width,Panels,Items,Columns
1400,2700,26,[48],"(2,)"
1400,2700,15,[33],"(3,)"
1400,2700,110,"[30, 31, 42]","(1, 1, 1)"
1400,2700,55,"[26, 36]","(1, 2)"
1400,2700,74,"[9, 29, 54]","(1, 1, 1)"
1400,2700,87,"[7, 43, 49]","(1, 1, 1)"
1400,2700,15,"[6, 46]","(2, 2)"
1400,2700,30,"[5, 19, 63]","(1, 1, 1)"
1400,2700,12,"[4, 44]","(2, 2)"
1400,2700,90,"[3, 32, 55]","(1, 1, 1)"
1400,2250,280,"[40, 57]","(1, 1)"
1400,2250,280,"[39, 59]","(1, 1)"
1400,2250,220,"[37, 56]","(1, 1)"
1400,2250,220,"[35, 58]","(1, 1)"
1400,2250,37,[34],"(3,)"
1400,2250,340,"[24, 28, 50]","(1, 1, 1)"
1400,2250,184,"[23, 53]","(2, 1)"
1400,2250,184,"[21, 64]","(1, 1)"
1400,2250,110,"[20, 38, 41]","(1, 1, 1)"
1400,2250,20,"[18, 62]","(1, 1)"
1400,2250,5,[17],"(4,)"
1400,2250,15,"[16, 22, 25]","(1, 1, 2)"
1400,2250,3,[15],"(4,)"
1400,2250,14,"[14, 61]","(1, 1)"
1400,2250,680,"[13, 27, 51]","(1, 1, 1)"
1400,2250,184,"[10, 11, 65]","(1, 1, 1)"
1400,2250,680,"[8, 12, 60]","(1, 1, 1)"
1400,2250,260,"[2, 45, 52]","(2, 1, 1)"
1400,2250,44,"[1, 47]","(2, 2)"
