Stock_Length,Stock_Width,Panels,Items,Columns
1200,2400,295,[72],"(2,)"
1200,2400,197,[71],"(2,)"
1200,2400,80,[68],"(2,)"
1200,2400,25,[67],"(2,)"
1200,2400,410,"[59, 82]","(1, 1)"
1200,2400,274,"[58, 80]","(1, 1)"
1200,2400,32,[54],"(5,)"
1200,2400,2080,"[52, 86]","(1, 1)"
1200,2400,8,"[42, 47]","(5, 1)"
1200,2400,5,"[41, 43]","(5, 1)"
1200,2400,22,[39],"(6,)"
1200,2400,4,"[27, 30]","(5, 5)"
1200,2400,10,"[23, 64]","(1, 2)"
1200,2400,10,"[22, 65]","(1, 2)"
1200,2400,1180,"[21, 87]","(2, 1)"
1200,2400,5,"[15, 44]","(10, 1)"
1200,2400,7,"[14, 70]","(6, 1)"
1200,2400,12,[11],"(12,)"
1200,2400,12,[10],"(12,)"
1200,2400,2,"[9, 46]","(2, 5)"
1200,2400,3,"[7, 24]","(7, 5)"
1200,2400,3,"[5, 28]","(1, 10)"
1200,2400,3,"[4, 61]","(1, 3)"
1200,2400,2,"[3, 25]","(1, 10)"
1200,2400,260,"[2, 55]","(1, 4)"
1200,2400,6,"[1, 63]","(2, 2)"
1600,2340,205,[81],"(2,)"
1600,2340,590,"[76, 83]","(1, 1)"
1600,2340,20,"[75, 84]","(1, 1)"
1600,2340,30,"[74, 85]","(1, 1)"
1600,2340,260,[53],"(8,)"
1600,2340,80,"[51, 69]","(2, 2)"
1600,2340,5,"[49, 73]","(2, 2)"
1600,2340,25,"[48, 66]","(2, 2)"
1600,2340,1,[45],"(8,)"
1600,2340,416,"[40, 56]","(1, 5)"
1600,2340,10,"[37, 62]","(3, 3)"
1600,2340,20,"[34, 38]","(5, 5)"
1600,2340,59,"[33, 57]","(1, 5)"
1600,2340,590,"[32, 77]","(2, 2)"
1600,2340,36,"[31, 50]","(10, 1)"
1600,2340,130,[20],"(16,)"
1600,2340,520,"[19, 78]","(1, 2)"
1600,2340,36,"[18, 36]","(1, 10)"
1600,2340,10,[17],"(16,)"
1600,2340,1080,"[16, 79]","(1, 2)"
1600,2340,28,"[13, 35]","(1, 10)"
1600,2340,3,"[12, 26]","(5, 10)"
1600,2340,10,"[8, 60]","(5, 3)"
1600,2340,3,"[6, 29]","(7, 7)"
