Stock_Length,Stock_Width,Panels,Items,Columns
1200,3060,65,"[68, 69]","(1, 1)"
1200,3060,87,"[65, 66]","(1, 1)"
1200,3060,15,"[57, 58]","(1, 1)"
1200,3060,5,[56],"(6,)"
1200,3060,15,"[52, 59]","(1, 1)"
1200,3060,30,[40],"(6,)"
1200,3060,90,"[39, 75]","(2, 1)"
1200,3060,44,"[38, 61]","(3, 2)"
1200,3060,15,"[28, 29]","(5, 1)"
1200,3060,25,"[27, 48]","(3, 1)"
1200,3060,17,[26],"(6,)"
1200,3060,195,"[22, 33]","(2, 2)"
1200,3060,160,"[21, 46]","(2, 1)"
1200,3060,40,[20],"(2,)"
1200,3060,195,"[17, 34]","(1, 2)"
1200,3060,20,"[13, 31]","(1, 3)"
1200,3060,35,"[10, 72]","(2, 2)"
1200,3060,30,"[6, 30]","(2, 2)"
1200,3060,37,"[5, 64]","(3, 2)"
1200,3060,32,"[4, 47]","(3, 1)"
1200,3060,2,[3],"(6,)"
1200,3060,5,"[2, 16]","(4, 2)"
1200,2340,9,[71],"(3,)"
1200,2340,65,"[67, 70]","(1, 1)"
1200,2340,10,[55],"(6,)"
1200,2340,5,"[51, 54]","(2, 3)"
1200,2340,12,"[50, 53]","(5, 2)"
1200,2340,20,[49],"(3,)"
1200,2340,250,"[45, 73]","(1, 1)"
1200,2340,360,[43],"(1,)"
1200,2340,51,"[42, 62]","(2, 2)"
1200,2340,12,[41],"(6,)"
1200,2340,38,[37],"(12,)"
1200,2340,78,"[35, 44]","(2, 5)"
1200,2340,12,[32],"(3,)"
1200,2340,51,"[23, 63]","(3, 2)"
1200,2340,200,[19],"(2,)"
1200,2340,450,"[18, 36]","(1, 1)"
1200,2340,3,[15],"(6,)"
1200,2340,6,[14],"(3,)"
1200,2340,6,[12],"(15,)"
1200,2340,90,"[11, 74]","(1, 3)"
1200,2340,300,"[9, 24]","(1, 1)"
1200,2340,157,[8],"(4,)"
1200,2340,313,"[7, 25]","(2, 1)"
1200,2340,44,"[1, 60]","(1, 2)"
