Stock_Length,Stock_Width,Panels,Items,Columns
1200,2140,20,[62],"(1,)"
1200,2140,14,[61],"(1,)"
1200,2140,138,"[36, 47]","(1, 1)"
1200,2140,260,"[34, 52]","(1, 1)"
1200,2140,340,"[28, 50]","(1, 1)"
1200,2140,150,"[27, 30]","(2, 1)"
1200,2140,220,"[25, 56]","(1, 1)"
1200,2140,300,"[24, 57]","(1, 1)"
1200,2140,300,"[23, 59]","(1, 1)"
1200,2140,220,"[21, 58]","(1, 1)"
1200,2140,5,[18],"(4,)"
1200,2140,5,[17],"(4,)"
1200,2140,4,[16],"(4,)"
1200,2140,4,[14],"(4,)"
1200,2140,680,"[12, 60]","(1, 1)"
1200,2140,680,"[9, 13, 51]","(1, 1, 1)"
1200,2140,184,"[7, 64]","(1, 1)"
1200,2140,55,"[6, 38]","(1, 2)"
1200,2140,70,"[5, 37]","(1, 2)"
1200,2520,15,[46],"(2,)"
1200,2520,55,[45],"(2,)"
1200,2520,12,[44],"(2,)"
1200,2520,44,[43],"(2,)"
1200,2520,55,[42],"(2,)"
1200,2520,55,[41],"(2,)"
1200,2520,140,[40],"(2,)"
1200,2520,65,"[33, 48]","(1, 1)"
1200,2520,88,"[32, 49]","(1, 1)"
1200,2520,15,[29],"(3,)"
1200,2520,74,"[26, 54]","(1, 1)"
1200,2520,5,[22],"(3,)"
1200,2520,90,"[20, 55]","(1, 1)"
1200,2520,10,"[15, 19]","(1, 3)"
1200,2520,75,"[11, 35]","(1, 2)"
1200,2520,184,"[10, 65]","(1, 1)"
1200,2520,30,"[3, 4, 63]","(1, 1, 1)"
1200,2520,140,"[2, 8, 39]","(2, 1, 2)"
1200,2520,184,"[1, 31, 53]","(1, 1, 1)"
