Stock_Length,Stock_Width,Panels,Items,Columns
1600,2400,205,[81],"(2,)"
1600,2400,137,[80],"(2,)"
1600,2400,2080,"[77, 86]","(1, 1)"
1600,2400,590,"[76, 83]","(1, 1)"
1600,2400,20,"[75, 84]","(1, 1)"
1600,2400,30,"[74, 85]","(1, 1)"
1600,2400,410,"[71, 82]","(1, 1)"
1600,2400,63,[59],"(5,)"
1600,2400,295,"[57, 72]","(1, 2)"
1600,2400,1180,"[56, 87]","(2, 1)"
1600,2400,32,"[54, 62]","(5, 1)"
1600,2400,260,[53],"(8,)"
1600,2400,260,[52],"(8,)"
1600,2400,80,"[51, 69]","(2, 2)"
1600,2400,25,"[48, 66]","(2, 2)"
1600,2400,5,"[46, 50]","(2, 6)"
1600,2400,4,"[45, 70]","(2, 2)"
1600,2400,3,"[44, 61]","(2, 3)"
1600,2400,5,[42],"(8,)"
1600,2400,208,"[39, 55]","(1, 5)"
1600,2400,10,"[37, 60]","(3, 3)"
1600,2400,20,"[34, 38]","(5, 5)"
1600,2400,55,"[33, 58]","(1, 5)"
1600,2400,160,"[32, 68]","(7, 1)"
1600,2400,52,"[31, 67]","(7, 1)"
1600,2400,6,"[26, 63]","(5, 2)"
1600,2400,3,"[25, 27]","(7, 7)"
1600,2400,2,"[23, 24]","(5, 9)"
1600,2400,2,"[22, 49]","(5, 5)"
1600,2400,130,[21],"(16,)"
1600,2400,130,[20],"(16,)"
1600,2400,10,[19],"(16,)"
1600,2400,5,"[18, 41]","(6, 5)"
1600,2400,520,"[17, 78]","(1, 2)"
1600,2400,1080,"[16, 79]","(1, 2)"
1600,2400,10,"[15, 64]","(5, 2)"
1600,2400,10,"[14, 65]","(5, 2)"
1600,2400,36,"[13, 36]","(1, 10)"
1600,2400,3,"[12, 28]","(5, 10)"
1600,2400,35,"[11, 35]","(4, 8)"
1600,2400,3,"[8, 9]","(15, 1)"
1600,2400,5,"[7, 73]","(4, 2)"
1600,2400,10,"[6, 10]","(2, 14)"
1600,2400,2,"[5, 29]","(3, 10)"
1600,2400,1,"[4, 47]","(2, 7)"
1600,2400,2,"[3, 30]","(1, 11)"
1600,2400,5,"[2, 43]","(20, 1)"
1600,2400,37,"[1, 40]","(1, 8)"
