Stock_Length,Stock_Width,Panels,Items,Columns
1600,2620,20,"[55, 78]","(1, 1)"
1600,2620,120,"[53, 80]","(1, 1)"
1600,2620,9,[50],"(4,)"
1600,2620,5,[49],"(4,)"
1600,2620,15,"[48, 51]","(3, 1)"
1600,2620,5,[47],"(4,)"
1600,2620,30,"[46, 59]","(2, 2)"
1600,2620,3,[44],"(5,)"
1600,2620,88,"[35, 40]","(4, 2)"
1600,2620,20,"[34, 73]","(3, 1)"
1600,2620,44,[33],"(8,)"
1600,2620,40,"[32, 75]","(3, 1)"
1600,2620,73,"[29, 41]","(4, 3)"
1600,2620,10,"[27, 72]","(6, 1)"
1600,2620,133,"[26, 67]","(2, 2)"
1600,2620,40,"[25, 79]","(4, 1)"
1600,2620,3,"[22, 31]","(2, 7)"
1600,2620,7,"[20, 57]","(3, 3)"
1600,2620,2,"[16, 19]","(20, 2)"
1600,2620,18,"[15, 63]","(3, 3)"
1600,2620,7,"[13, 58]","(4, 3)"
1600,2620,25,"[6, 56]","(6, 3)"
1600,2620,38,"[5, 69]","(2, 2)"
1600,2620,33,"[4, 64]","(2, 3)"
1600,2120,78,[71],"(2,)"
1600,2120,438,"[66, 74]","(1, 1)"
1600,2120,40,"[60, 76]","(1, 1)"
1600,2120,4,[43],"(5,)"
1600,2120,52,"[42, 54]","(1, 3)"
1600,2120,15,"[38, 52]","(4, 1)"
1600,2120,20,"[37, 77]","(2, 1)"
1600,2120,53,[28],"(10,)"
1600,2120,14,"[23, 61]","(3, 3)"
1600,2120,76,"[21, 62]","(7, 2)"
1600,2120,75,"[18, 70]","(1, 2)"
1600,2120,2,[17],"(16,)"
1600,2120,49,"[14, 30]","(1, 9)"
1600,2120,1,[11],"(22,)"
1600,2120,1,"[10, 36]","(10, 3)"
1600,2120,4,"[9, 39]","(2, 5)"
1600,2120,5,"[8, 45]","(4, 4)"
1600,2120,1,"[7, 24]","(10, 8)"
1600,2120,18,"[3, 68]","(3, 2)"
1600,2120,65,"[2, 65]","(2, 3)"
1600,2120,2,"[1, 12]","(18, 10)"
