Stock_Length,Stock_Width,Panels,Items,Columns
1200,2280.0,10,[22],"(6,)"
1200,2280.0,10,[21],"(6,)"
1200,2280.0,20,"[20, 25]","(3, 1)"
1200,2280.0,7,"[16, 18]","(2, 3)"
1200,2280.0,20,[14],"(3,)"
1200,2280.0,10,"[13, 19]","(3, 2)"
1200,2280.0,36,[11],"(7,)"
1200,2280.0,20,"[10, 17]","(4, 1)"
1200,2280.0,157,[8],"(4,)"
1200,2280.0,313,"[7, 9]","(2, 1)"
1200,2280.0,20,"[6, 23]","(4, 1)"
1200,2280.0,20,"[5, 24]","(7, 1)"
1200,2280.0,47,"[4, 12]","(3, 1)"
1200,2280.0,3,[3],"(6,)"
1200,2280.0,5,[2],"(6,)"
1200,2280.0,15,"[1, 15]","(2, 4)"
