Stock_Length,Stock_Width,Panels,Items,Columns
1200,2400,15,[74],"(2,)"
1200,2400,5,[73],"(2,)"
1200,2400,295,[72],"(2,)"
1200,2400,197,[71],"(2,)"
1200,2400,4,[70],"(2,)"
1200,2400,80,[69],"(2,)"
1200,2400,80,[68],"(2,)"
1200,2400,25,[67],"(2,)"
1200,2400,25,[66],"(2,)"
1200,2400,20,"[64, 75]","(1, 1)"
1200,2400,410,"[59, 81]","(1, 1)"
1200,2400,69,[58],"(4,)"
1200,2400,410,"[57, 82]","(1, 1)"
1200,2400,2080,"[56, 79]","(1, 1)"
1200,2400,1180,"[55, 77]","(1, 1)"
1200,2400,32,[54],"(5,)"
1200,2400,1040,"[53, 78]","(2, 1)"
1200,2400,2080,"[52, 86]","(1, 1)"
1200,2400,5,[50],"(6,)"
1200,2400,1,[43],"(6,)"
1200,2400,8,"[42, 47]","(5, 1)"
1200,2400,5,"[41, 44]","(5, 1)"
1200,2400,50,[40],"(6,)"
1200,2400,22,[39],"(6,)"
1200,2400,15,[38],"(7,)"
1200,2400,6,"[37, 46]","(5, 2)"
1200,2400,45,[36],"(8,)"
1200,2400,46,"[34, 35]","(2, 6)"
1200,2400,15,"[33, 62]","(3, 2)"
1200,2400,590,"[32, 83]","(2, 1)"
1200,2400,52,"[31, 48]","(7, 1)"
1200,2400,5,"[26, 30]","(6, 4)"
1200,2400,10,"[23, 65]","(1, 2)"
1200,2400,10,"[22, 60]","(1, 3)"
1200,2400,590,"[21, 76]","(5, 1)"
1200,2400,1180,"[20, 87]","(2, 1)"
1200,2400,40,"[19, 51]","(4, 4)"
1200,2400,4,"[18, 45]","(8, 2)"
1200,2400,274,"[16, 80]","(4, 1)"
1200,2400,18,"[15, 17]","(3, 9)"
1200,2400,20,"[14, 84]","(2, 1)"
1200,2400,5,"[13, 28]","(5, 6)"
1200,2400,12,[11],"(12,)"
1200,2400,12,[10],"(12,)"
1200,2400,2,"[9, 49]","(2, 5)"
1200,2400,5,"[8, 12]","(9, 3)"
1200,2400,3,"[7, 24]","(7, 5)"
1200,2400,4,"[6, 29]","(6, 5)"
1200,2400,3,"[5, 61]","(1, 3)"
1200,2400,2,"[4, 27]","(1, 10)"
1200,2400,2,"[3, 25]","(1, 10)"
1200,2400,30,"[2, 85]","(4, 1)"
1200,2400,6,"[1, 63]","(2, 2)"
